storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP251948,BEVERLY,1948,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP251948,BEVERLY,1948,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP251948,BEVERLY,1948,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0
WP251948,BEVERLY,1948,3,4,0,0.0,0,0.0,0.0,0.0,1,0.0
WP251948,BEVERLY,1948,4,5,0,0.0,0,0.0,0.0,0.0,1,0.06354709448156952
WP251948,BEVERLY,1948,5,6,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,6,7,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,7,8,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,8,9,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,9,10,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,10,11,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,11,12,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
WP251948,BEVERLY,1948,12,13,0,0.0,0,0.0,0.0,0.0,1,0.3503993502661734
