storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP282019,FUNG-WONG,2019,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP282019,FUNG-WONG,2019,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP282019,FUNG-WONG,2019,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP282019,FUNG-WONG,2019,3,4,1,0.00423728813559322,1,1,0.005208333333333333,108820.66070079803,0.0007040887733092534,2,1,1,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP282019,FUNG-WONG,2019,4,5,1,0.00423728813559322,0,1,0.005208333333333333,108820.66070079803,0.0007040887733092534,2,1,1,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP282019,FUNG-WONG,2019,5,6,2,0.00847457627118644,1,1,0.005208333333333333,108820.66070079803,0.0007040887733092534,2,1,1,0.0,5.017216468376421e-05,5.0172164683764205e-05
