bus_id,lon,lat,v_nom,bus_pop_local_nb,unserved_count,unserved_frequency,n_storms
13DAVAO,125.4862599,7.09544981,230,1786131.0684239864,0,0.0,5
13MACO,125.8717926,7.416971293,230,1354870.7698959112,0,0.0,5
13MATAN,125.3100177,6.771182729,230,1106591.7082202437,0,0.0,5
13NABUN,126.0174069,7.498075912,230,830214.7583937645,0,0.0,5
13TM1,126.4192996,7.548251558,138,474769.81072211266,0,0.0,5
13TORIL,125.477022,6.968722068,138,358375.8592376709,0,0.0,5
14GENSA,125.1479329,6.203198948,138,1630033.576060772,0,0.0,5
14KAMAN,125.002748,5.870344239,138,787810.8230605125,0,0.0,5
14KIDAP,125.0486952,7.54281484,138,134484.68584370613,0,0.0,5
14SULTA,124.9827773,7.42299444,138,1210564.876333952,0,0.0,5
14TACUR,124.6870874,6.669240459,138,3408102.2672991753,0,0.0,5
