storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP041967,VIOLET,1967,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP041967,VIOLET,1967,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP041967,VIOLET,1967,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP041967,VIOLET,1967,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP041967,VIOLET,1967,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.1315906168464004,5.723403318886502e-05,0.0005357168736861246
WP041967,VIOLET,1967,5,6,2,0.00847457627118644,2,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,2,1,1,0.5781383998715962,0.005362110437112351,0.6239835697742595
WP041967,VIOLET,1967,6,7,2,0.00847457627118644,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,2,1,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,7,8,3,0.012711864406779662,1,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,2,1,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,8,9,4,0.01694915254237288,1,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,3,2,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,9,10,4,0.01694915254237288,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,3,2,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,10,11,5,0.0211864406779661,1,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,4,3,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,11,12,5,0.0211864406779661,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,4,3,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,12,13,5,0.0211864406779661,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,4,3,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,13,14,5,0.0211864406779661,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,4,3,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,14,15,5,0.0211864406779661,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,4,3,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,15,16,6,0.025423728813559324,1,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,5,4,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
WP041967,VIOLET,1967,16,17,6,0.025423728813559324,0,1,0.005208333333333333,2117531.6196603477,0.013700801216687309,5,4,1,0.5781383998715962,0.008045533064745487,0.6239835697742595
