storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP231947,FLORA,1947,0,1,0,0.0,0,0.0,0.0,0.0,1,0.08244282619082578
WP231947,FLORA,1947,1,2,0,0.0,0,0.0,0.0,0.0,1,0.17760742266599414
WP231947,FLORA,1947,2,3,0,0.0,0,0.0,0.0,0.0,1,0.37621588676685336
WP231947,FLORA,1947,3,4,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,4,5,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,5,6,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,6,7,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,7,8,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,8,9,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
WP231947,FLORA,1947,9,10,0,0.0,0,0.0,0.0,0.0,1,0.4391872959039227
