storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP271990,MIKE,1990,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP271990,MIKE,1990,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1917988213874894
WP271990,MIKE,1990,2,3,2,0.00847457627118644,4,0.020833333333333332,3345235.9369101524,0.021644263617596537,3,1,2,0.7043133810782571
WP271990,MIKE,1990,3,4,6,0.025423728813559324,6,0.03125,5120423.338217735,0.03313003765840358,6,2,4,0.7043133810782571
WP271990,MIKE,1990,4,5,6,0.025423728813559324,6,0.03125,5120423.338217735,0.03313003765840358,6,2,4,0.7043133810782571
WP271990,MIKE,1990,5,6,6,0.025423728813559324,6,0.03125,5120423.338217735,0.03313003765840358,6,2,4,0.7043133810782571
WP271990,MIKE,1990,6,7,6,0.025423728813559324,6,0.03125,5120423.338217735,0.03313003765840358,6,2,4,0.7043133810782571
WP271990,MIKE,1990,7,8,6,0.025423728813559324,6,0.03125,5120423.338217735,0.03313003765840358,6,2,4,0.7043133810782571
