storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP211947,DORA,1947,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP211947,DORA,1947,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP211947,DORA,1947,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP211947,DORA,1947,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP211947,DORA,1947,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP211947,DORA,1947,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.06103352407668902,5.1022401081049124e-05,0.00015050005956338355
WP211947,DORA,1947,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.13735976588695553,8.901095027263687e-05,0.0005943045287966831
WP211947,DORA,1947,7,8,1,0.00423728813559322,1,0,0.0,0.0,0.0,2,2,0,0.4408743963487328,0.0023162109570907643,0.12300666348459206
WP211947,DORA,1947,8,9,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,9,10,2,0.00847457627118644,1,0,0.0,0.0,0.0,2,2,0,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,10,11,5,0.0211864406779661,3,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,4,2,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,11,12,6,0.025423728813559324,1,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,4,2,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,12,13,6,0.025423728813559324,0,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,4,2,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,13,14,7,0.029661016949152543,1,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,5,3,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,14,15,7,0.029661016949152543,0,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,5,3,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,15,16,7,0.029661016949152543,0,2,0.010416666666666666,1026200.3415077031,0.006639696312893245,5,3,2,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,16,17,9,0.038135593220338986,2,3,0.015625,1856706.7371480763,0.012013218450749843,7,4,3,0.4685311928680292,0.008450790499582032,0.18748454375686804
WP211947,DORA,1947,17,18,11,0.046610169491525424,2,3,0.015625,1856706.7371480763,0.012013218450749843,8,5,3,0.4685311928680292,0.008450790499582032,0.18748454375686804
