storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP391964,OPAL,1964,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP391964,OPAL,1964,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP391964,OPAL,1964,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.11777632621998577,5.874157371602796e-05,0.00041782660087210315
WP391964,OPAL,1964,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.21249524012012844,0.000121544849035671,0.002294173829753369
WP391964,OPAL,1964,4,5,1,0.00423728813559322,1,0,0.0,0.0,0.0,1,1,0,0.23127064010785653,0.0001406754087011314,0.0032136519644186813
WP391964,OPAL,1964,5,6,1,0.00423728813559322,0,0,0.0,0.0,0.0,1,1,0,0.23127064010785653,0.00018043535251344864,0.0032136519644186813
WP391964,OPAL,1964,6,7,1,0.00423728813559322,0,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.000502394342489445,0.02224435554499005
WP391964,OPAL,1964,7,8,1,0.00423728813559322,0,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.000687103523258194,0.02224435554499005
WP391964,OPAL,1964,8,9,2,0.00847457627118644,1,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.0009750138172574943,0.02224435554499005
WP391964,OPAL,1964,9,10,2,0.00847457627118644,0,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.0009750138172574943,0.02224435554499005
WP391964,OPAL,1964,10,11,2,0.00847457627118644,0,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.001170933085768891,0.02224435554499005
WP391964,OPAL,1964,11,12,2,0.00847457627118644,0,0,0.0,0.0,0.0,1,1,0,0.33982380591871697,0.0012039876270543463,0.02224435554499005
