disno,year,event_name_raw,storm_name,local_name,total_affected,total_deaths,total_damage_usd
2016-0456-PHL,2016,Tropical storm Marce (Tokage),MARCE,TOKAGE,14309.0,,
2016-0503-PHL,2016,Typhoon 'Nina' (Nock-Ten),NINA,NOCK-TEN,1893404.0,24.0,135485000.0
2017-0142-PHL,2017,Tropical depression 02W (Crising),02W,CRISING,860.0,10.0,2559000.0
2017-0422-PHL,2017,Typhoon 'Damrey' / 'Ramil',DAMREY,,305.0,6.0,
2017-0406-PHL,2017,Typhoon 'Doksuri',DOKSURI,,9110.0,26.0,6783000.0
2017-0432-PHL,2017,Typhoon 'Lan'/'Paolo',LAN,,163349.0,9.0,4351000.0
2017-0326-PHL,2017,Typhoon Nesat & Haitang,NESAT & HAITANG,,7339.0,,224000.0
2017-0485-PHL,2017,Tropical storm 'Pakhar'/'Jolina',PAKHAR,,3400.0,,
2018-0004-PHL,2018,Agaton (01W),AGATON,01W,83917.0,3.0,15355000.0
2018-0044-PHL,2018,Tropical storm 'Basyang' (Sanba),BASYANG,SANBA,254859.0,,3835000.0
2018-0341-PHL,2018,Typhoon Mangkut (Ompong),MANGKUT,OMPONG,3800138.0,84.0,40016000.0
2018-0227-PHL,2018,Tyhoon 'Son Tinh',SON TINH,,2231101.0,16.0,109932000.0
2018-0455-PHL,2018,Tropical depression 'Usman',USMAN,,1016063.0,182.0,133359000.0
2018-0347-PHL,2018,Tropical Storm Yagi,YAGI,,1709511.0,5.0,23735000.0
2018-0399-PHL,2018,Typhoon 'Yutu' (Rosita),YUTU,ROSITA,253300.0,12.0,381014000.0
2019-0021-PHL,2019,Tropical depression 'Amang' (01W),AMANG,01W,13160.0,,
2019-0349-PHL,2019,Tropical cyclone 'Danas',DANAS,,2000.0,4.0,463115000.0
2019-0541-PHL,2019,Tropical cyclone 'Kalmaegi' (Ramon),KALMAEGI,RAMON,3000.0,,
2019-0573-PHL,2019,Tropical cyclone 'Kammuri' (Tisoy),KAMMURI,TISOY,2647558.0,4.0,133927000.0
2019-0549-PHL,2019,Tropical cyclone 'Nakri',NAKRI,,673.0,19.0,44172000.0
2019-0634-PHL,2019,Tropical cyclone 'Phanfone' (Ursula),PHANFONE,URSULA,3297246.0,63.0,19291000.0
2019-0434-PHL,2019,Tropical cyclone 'Podul',PODUL,,61502.0,2.0,
2020-0463-PHL,2020,Typhoon 'Goni' (Rolly),GONI,ROLLY,3356394.0,31.0,610011000.0
2020-0470-PHL,2020,Typhoon 'Molave' (Quinta),MOLAVE,QUINTA,888415.0,31.0,105568000.0
2020-0452-PHL,2020,Tropical depression 'Ofel',OFEL,,250.0,3.0,227000.0
2020-0501-PHL,2020,Tyhoon 'Ulysses' (Vamco),ULYSSES,VAMCO,514909.0,111.0,510268000.0
2020-0558-PHL,2020,Tropical depression 'Vicky' (Krovanh),VICKY,KROVANH,36032.0,9.0,2779000.0
2020-0203-PHL,2020,Tropical Cyclone 'Vongfong' (Ambo),VONGFONG,AMBO,578740.0,5.0,37694000.0
2021-0339-PHL,2021,Tropical storm 'Choi-Wan',CHOI-WAN,,21000.0,11.0,12734000.0
2021-0595-PHL,2021,Tropical cyclone 'Conson' (Jolina),CONSON,JOLINA,313397.0,17.0,
2021-0091-PHL,2021,Tropical storm 'Dujuan' (Auring),DUJUAN,AURING,272453.0,5.0,3605000.0
2021-0670-PHL,2021,Tropical cyclone 'Kompasu' (Maring),KOMPASU,MARING,1140539.0,59.0,87530000.0
2021-0664-PHL,2021,Tropical cyclone 'Lionrock' (Lannie),LIONROCK,LANNIE,8048.0,3.0,278000.0
2021-0813-PHL,2021,Typhoon 'Rai' (Odette),RAI,ODETTE,10608996.0,457.0,1059566000.0
2021-0236-PHL,2021,Tropical cyclone 'Surigae',SURIGAE,,15000.0,9.0,23153000.0
2022-0547-PHL,2022,Tropical Cyclone 'Ma-On' (Florita),MA-ON,FLORITA,7616.0,,
2022-0665-PHL,2022,Tropical depression 'Maymay',MAYMAY,,7000.0,,19294000.0
2022-0204-PHL,2022,Tropical storm 'Megi' (Agaton),MEGI,AGATON,2298788.0,346.0,44543000.0
2022-0707-PHL,2022,Storm 'Nalgae' (Paeng),NALGAE,PAENG,3323291.0,158.0,48844000.0
2022-0680-PHL,2022,Tropical cyclone 'Nesat',NESAT,,103602.0,,
2023-0246-PHL,2023,Tropical Depression 'Amang',AMANG,,136149.0,,229000.0
2023-0464-PHL,2023,Tropical cyclone 'Doksuri' (Egay),DOKSURI,EGAY,5385237.0,39.0,292640000.0
2023-0842-PHL,2023,Tropical storm 'Jelawat' (Kabayan),JELAWAT,KABAYAN,425867.0,1.0,43000.0
2023-0623-PHL,2023,Typhoon 'Koinu',KOINU,,275.0,,
2023-0300-PHL,2023,Typhoon 'Mawar',MAWAR,,30501.0,1.0,
2023-0568-PHL,2023,Typhoon 'Saola',SAOLA,,900003.0,4.0,33973000.0
2023-0450-PHL,2023,Tropical cyclone 'Talim',TALIM,,450.0,2.0,
2024-0666-PHL,2024,Typhoon 'Bebinca',BEBINCA,,203011.0,12.0,
2024-0337-PHL,2024,Tropical cyclone 'Ewiniar' (Aghon),EWINIAR,AGHON,52008.0,6.0,20000000.0
2024-0522-PHL,2024,Typhoon 'Gaemi' (Carina) and 'Butchoy' (Prapiroon),GAEMI,CARINA,6498934.0,53.0,211000000.0
2024-0801-PHL,2024,Typhoon 'Kong-Rey' (Leon),KONG-REY,LEON,,,
2024-0711-PHL,2024,Tropical cyclone 'Krathon' (Julian),KRATHON,JULIAN,219008.0,4.0,11000000.0
2024-0855-PHL,2024,Typhoon 'Man-yi' (Pepito),MAN-YI,PEPITO,3967014.0,15.0,100000000.0
2024-0695-PHL,2024,Tropical depression 'Soulik',SOULIK,,95013.0,38.0,
2024-0829-PHL,2024,Typhoon 'Toraji' (Nika),TORAJI,NIKA,310002.0,,10000000.0
2024-0777-PHL,2024,Tropical cyclone 'Trami' (Kristine),TRAMI,KRISTINE,9652739.0,181.0,373000000.0
2024-0654-PHL,2024,Typhoon 'Yagi' (Enteng),YAGI,ENTENG,3000022.0,33.0,33000000.0
2024-0825-PHL,2024,Typhoon 'Yinxing' (Marce),YINXING,MARCE,375001.0,1.0,10000000.0
2025-0813-PHL,2025,Typhoon 'Bualoi' (Opong),BUALOI,OPONG,4580041.0,55.0,
2025-0896-PHL,2025,Tropical storm 'Fengshen',FENGSHEN,,330001.0,9.0,
2025-0710-PHL,2025,Tropical cyclone 'Kajiki',KAJIKI,,50678.0,,
2025-0935-PHL,2025,Typhoon 'Kalmaegi' (Tino),KALMAEGI,TINO,5459360.0,372.0,
2025-0998-PHL,2025,Tropical cyclone 'Koto' (Verbena),KOTO,VERBENA,937552.0,2.0,
2025-0879-PHL,2025,Tropical cyclone 'Matmo',MATMO,,314000.0,1.0,
2025-0793-PHL,2025,Typhoon 'Ragasa' (Nando),RAGASA,NANDO,690000.0,11.0,
2025-0593-PHL,2025,"Typhoon 'Wipha' (Crising), 'Francisco' (Dante), 'Co-May' (Emong'",WIPHA,CRISING,11138205.0,38.0,
2025-0440-PHL,2025,Typhoon 'Wutip',WUTIP,,17517.0,3.0,
