storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP031989,BRENDA,1989,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP031989,BRENDA,1989,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.027893273662747742,5.096172811753986e-05,8.288935043542072e-05
WP031989,BRENDA,1989,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.1334690929333393,5.9879708609716234e-05,0.0005541303494171233
WP031989,BRENDA,1989,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.00021770221712950197,0.009618709742999568
WP031989,BRENDA,1989,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.00023088160557223992,0.009618709742999568
WP031989,BRENDA,1989,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.000490488994021762,0.009618709742999568
WP031989,BRENDA,1989,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.000571722733409123,0.009618709742999568
WP031989,BRENDA,1989,7,8,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005777820491356373,0.009618709742999568
WP031989,BRENDA,1989,8,9,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
WP031989,BRENDA,1989,9,10,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
WP031989,BRENDA,1989,10,11,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
WP031989,BRENDA,1989,11,12,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
WP031989,BRENDA,1989,12,13,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
WP031989,BRENDA,1989,13,14,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.2925344512599297,0.0005778884695600956,0.009618709742999568
