storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP231956,POLLY,1956,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231956,POLLY,1956,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231956,POLLY,1956,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231956,POLLY,1956,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231956,POLLY,1956,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.04307378205861506
WP231956,POLLY,1956,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.07967034518509428
WP231956,POLLY,1956,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23515773690049327
WP231956,POLLY,1956,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4688181077403548
WP231956,POLLY,1956,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4688181077403548
WP231956,POLLY,1956,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4688181077403548
WP231956,POLLY,1956,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4688181077403548
WP231956,POLLY,1956,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.4688181077403548
