storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP231959,HARRIET,1959,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231959,HARRIET,1959,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231959,HARRIET,1959,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP231959,HARRIET,1959,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.11564647610791928
WP231959,HARRIET,1959,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3352444672947472
WP231959,HARRIET,1959,5,6,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,6,7,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,7,8,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,8,9,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,9,10,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,10,11,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,11,12,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,12,13,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
WP231959,HARRIET,1959,13,14,6,0.025423728813559324,2,0.010416666666666666,2723586.458119154,0.017622082387198246,5,3,2,0.6699155123770096
