storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP281978,RITA,1978,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP281978,RITA,1978,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.09851864411936342,5.8837858704595256e-05,0.00029546507589425433
WP281978,RITA,1978,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.25518852525872693,0.00016054312997973525,0.004934257779170248
WP281978,RITA,1978,3,4,1,0.00423728813559322,1,0,0.0,0.0,0.0,1,1,0,0.25518852525872693,0.000276001640007665,0.004934257779170248
WP281978,RITA,1978,4,5,5,0.0211864406779661,4,0,0.0,0.0,0.0,3,3,0,0.5864717356231482,0.01378086482417129,0.6584717545773909
WP281978,RITA,1978,5,6,7,0.029661016949152543,2,1,0.005208333333333333,1967515.224138856,0.012730168809028823,4,3,1,0.5864717356231482,0.013810137683006608,0.6584717545773909
WP281978,RITA,1978,6,7,7,0.029661016949152543,0,1,0.005208333333333333,1967515.224138856,0.012730168809028823,4,3,1,0.5864717356231482,0.013810137683006608,0.6584717545773909
WP281978,RITA,1978,7,8,7,0.029661016949152543,0,1,0.005208333333333333,1967515.224138856,0.012730168809028823,4,3,1,0.5864717356231482,0.013810137683006608,0.6584717545773909
WP281978,RITA,1978,8,9,8,0.03389830508474576,1,2,0.010416666666666666,2774997.497795403,0.017954720836800473,5,3,2,0.5864717356231482,0.013810137683006608,0.6584717545773909
