storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP051957,VIRGINIA,1957,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,4,5,1,0.00423728813559322,1,0,0.0,0.0,0.0,2,2,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,5,6,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,6,7,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP051957,VIRGINIA,1957,7,8,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.08236365001632595,5.0895704907460466e-05,0.00022092765747607957
WP051957,VIRGINIA,1957,8,9,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.08236365001632595,5.0895704907460466e-05,0.00022092765747607957
WP051957,VIRGINIA,1957,9,10,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.08236365001632595,5.0895704907460466e-05,0.00022092765747607957
WP051957,VIRGINIA,1957,10,11,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.08236365001632595,5.0895704907460466e-05,0.00022092765747607957
