storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP211971,ROSE,1971,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP211971,ROSE,1971,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP211971,ROSE,1971,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0
WP211971,ROSE,1971,3,4,0,0.0,0,0.0,0.0,0.0,1,0.07532111848558203
WP211971,ROSE,1971,4,5,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
WP211971,ROSE,1971,5,6,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
WP211971,ROSE,1971,6,7,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
WP211971,ROSE,1971,7,8,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
WP211971,ROSE,1971,8,9,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
WP211971,ROSE,1971,9,10,2,0.00847457627118644,0,0.0,0.0,0.0,2,0.5586525053469112
