storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP131975,ALICE,1975,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP131975,ALICE,1975,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP131975,ALICE,1975,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP131975,ALICE,1975,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.04891567442988292
WP131975,ALICE,1975,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.06894186200239001
WP131975,ALICE,1975,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1317516789821583
WP131975,ALICE,1975,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3820545957755822
WP131975,ALICE,1975,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3820545957755822
WP131975,ALICE,1975,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3820545957755822
