storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP271974,CARMEN,1974,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP271974,CARMEN,1974,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP271974,CARMEN,1974,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.03531830963037782
WP271974,CARMEN,1974,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.05417884579495173
WP271974,CARMEN,1974,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0576560074900726
WP271974,CARMEN,1974,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0576560074900726
WP271974,CARMEN,1974,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.35292497013784785
WP271974,CARMEN,1974,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.35292497013784785
WP271974,CARMEN,1974,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.35292497013784785
WP271974,CARMEN,1974,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.35292497013784785
WP271974,CARMEN,1974,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.35292497013784785
