storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP341994,TERESA,1994,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP341994,TERESA,1994,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP341994,TERESA,1994,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0
WP341994,TERESA,1994,3,4,0,0.0,0,0.0,0.0,0.0,1,0.0
WP341994,TERESA,1994,4,5,0,0.0,0,0.0,0.0,0.0,1,0.07096123998778166
WP341994,TERESA,1994,5,6,0,0.0,0,0.0,0.0,0.0,1,0.13099570966847196
WP341994,TERESA,1994,6,7,0,0.0,0,0.0,0.0,0.0,1,0.252723499078401
WP341994,TERESA,1994,7,8,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
WP341994,TERESA,1994,8,9,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
WP341994,TERESA,1994,9,10,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
WP341994,TERESA,1994,10,11,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
WP341994,TERESA,1994,11,12,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
WP341994,TERESA,1994,12,13,0,0.0,0,0.0,0.0,0.0,1,0.38176202111302854
